state,date,division,index
Melaka,1/12/2017,overall,121
Melaka,1/1/2018,overall,121.3
Melaka,1/2/2018,overall,121.5
Melaka,1/3/2018,overall,121
Melaka,1/4/2018,overall,120.8
Melaka,1/5/2018,overall,120.9
Melaka,1/6/2018,overall,118.9
Melaka,1/7/2018,overall,119.2
Melaka,1/8/2018,overall,119.3
Melaka,1/9/2018,overall,119.6
Melaka,1/10/2018,overall,119.9
Melaka,1/11/2018,overall,120.2
Melaka,1/12/2018,overall,120.4
Melaka,1/1/2019,overall,119.7
Melaka,1/2/2019,overall,119.9
Melaka,1/3/2019,overall,120.2
Melaka,1/4/2019,overall,120
Melaka,1/5/2019,overall,120.3
Melaka,1/6/2019,overall,120.2
Melaka,1/7/2019,overall,120.4
Melaka,1/8/2019,overall,120.6
Melaka,1/9/2019,overall,120.6
Melaka,1/10/2019,overall,120.7
Melaka,1/11/2019,overall,120.8
Melaka,1/12/2019,overall,120.8
Melaka,1/1/2020,overall,120.8
Melaka,1/2/2020,overall,120.6
Melaka,1/3/2020,overall,119.1
Melaka,1/4/2020,overall,115.7
Melaka,1/5/2020,overall,116
Melaka,1/6/2020,overall,117.1
Melaka,1/7/2020,overall,117.8
Melaka,1/8/2020,overall,117.9
Melaka,1/9/2020,overall,117.9
Melaka,1/10/2020,overall,117.9
Melaka,1/11/2020,overall,117.7
Melaka,1/12/2020,overall,118.4
Melaka,1/1/2021,overall,120.1
Melaka,1/2/2021,overall,120.3
Melaka,1/3/2021,overall,120.6
Melaka,1/4/2021,overall,120.8
Melaka,1/5/2021,overall,120.8
Melaka,1/6/2021,overall,120.9
Melaka,1/7/2021,overall,120.2
Melaka,1/8/2021,overall,120.2
Melaka,1/9/2021,overall,120.6
Melaka,1/10/2021,overall,121.6
Melaka,1/11/2021,overall,122
Melaka,1/12/2021,overall,122.2
Melaka,1/1/2022,overall,122.5
Melaka,1/2/2022,overall,122.7
Melaka,1/3/2022,overall,122.9
Melaka,1/4/2022,overall,123
Melaka,1/5/2022,overall,123.3
Melaka,1/6/2022,overall,123.9
Melaka,1/7/2022,overall,124.6
Melaka,1/8/2022,overall,124.8
Melaka,1/9/2022,overall,125.1
Melaka,1/10/2022,overall,125.5
Melaka,1/11/2022,overall,125.8
Melaka,1/12/2022,overall,126.2
Melaka,1/1/2023,overall,126.5
Melaka,1/2/2023,overall,126.7
Melaka,1/3/2023,overall,126.8
Melaka,1/4/2023,overall,127
Melaka,1/5/2023,overall,127.1
Melaka,1/6/2023,overall,127.2
Melaka,1/7/2023,overall,127.3
Melaka,1/8/2023,overall,127.4
Melaka,1/9/2023,overall,127.4
Melaka,1/10/2023,overall,127.5
Melaka,1/11/2023,overall,127.4
Melaka,1/12/2023,overall,127.6
Melaka,1/1/2024,overall,127.8
Melaka,1/2/2024,overall,128.3
Melaka,1/3/2024,overall,128.2
Melaka,1/4/2024,overall,128.4
Melaka,1/5/2024,overall,128.7
Melaka,1/6/2024,overall,128.9
Melaka,1/7/2024,overall,129.1
Melaka,1/8/2024,overall,129.2
